Job Title,Company Name,Rating,Location,Salary
Network Security Analyst,ITSD,3.5,"Jefferson City, MO","$4,100 - $5,900 a month"
Chief Information Security Officer,HUB International,3.5,"Chicago, IL","$140,000 - $190,000 a year"
Cybersecurity Analyst,LTS,3.7,Remote,"$110,000 - $130,000 a year"
Security Architect,Paradyme Management Inc.,Not Given,"Washington, DC","$100,000 - $150,000 a year"
Security Control Assessor,General Dynamics Information Technology,3.8,"McLean, VA","$90,000 - $120,000 a year"
Security & Information Risk Compliance Manager,Pearson,3.8,"Columbia, MD","$110,000 - $140,000 a year"
Sr. Cyber Security Specialist,Leidos,3.7,"Austin, TX","$99,000 - $130,000 a year"
Embedded Security Engineer,The Aerospace Corporation,4.0,"El Segundo, CA","$100,000 - $140,000 a year"
"Information Security Lead, North America",Coca-Cola Refreshments,3.9,"Atlanta, GA","$120,000 - $160,000 a year"
Personnel Security Specialist,GovStrive LLC,Not Given,"Beltsville, MD","$43,000 - $59,000 a year"
Information System Security Officer,MIT Lincoln Laboratory,4.2,Massachusetts,"$80,000 - $110,000 a year"
Product Security Engineer,Ping Identity,3.6,"Denver, CO","$94,000 - $120,000 a year"
Security Researcher II - Risk Research,Akamai,4.1,"Cambridge, MA","$99,000 - $140,000 a year"
Application Analyst - Cerner Core Security,Silver Cross Hospital,4.1,"New Lenox, IL","$73,000 - $96,000 a year"
Sr. Manager - Cyber Security Engineer,Cognizant,4.0,"Englewood, CO","$120,000 - $160,000 a year"
Security Engineer,"JENSEN HUGHES, Inc.",Not Given,"Plano, TX","$93,000 - $120,000 a year"
Security Specialist Senior,Venatore Llc,4.3,"Tampa, FL","$57,000 - $78,000 a year"
Security Analyst I,"CivicPlus, LLC.",3.9,"Manhattan, KS","$56,000 - $77,000 a year"
AWS Security Engineer (Corporate Infrastructure),"Amazon Web Services, Inc.",3.6,"Seattle, WA","$110,000 - $140,000 a year"
Senior Cyber Security Engineer,Foreground Security,4.3,"Aurora, CO","$84,000 - $120,000 a year"
Data Security Analyst - DIS,Roche,4.2,"Indianapolis, IN","$88,000 - $110,000 a year"
Information Security Engineer (End Point Security),Entergy,3.8,"The Woodlands, TX","$100,000 - $130,000 a year"
Security Operations Configuration Management & Encryption Associate Director,Collins Aerospace,3.7,"Palm Beach Gardens, FL","$120,000 - $160,000 a year"
Security Specialist,ECS Federal LLC,3.5,"Arlington, VA","$53,000 - $68,000 a year"
Security Architect,Solutions-ii,Not Given,United States,"$120,000 - $180,000 a year"
Senior Cyber Security Analyst,Hanesbrands Inc,3.8,"Winston-Salem, NC","$59,000 - $79,000 a year"
Lead Specialist Corp Security,TARGET,3.7,"Minneapolis, MN","$87,000 - $120,000 a year"
"Security Automation Engineer, Anti Abuse",Box,5.0,"Austin, TX","$99,000 - $130,000 a year"
Information Security Analyst,Applause,4.2,"Framingham, MA","$71,000 - $100,000 a year"
"Senior Associate, Cyber Security Access Design and Implementation",Hilton Corporate,4.0,"McLean, VA","$98,000 - $130,000 a year"
Product Security Officer,Collins Aerospace,3.7,"East Hartford, CT","$100,000 - $130,000 a year"
Product Security Engineer,Qualcomm,4.1,"San Diego, CA","$86,000 - $120,000 a year"
Cloud Security Engineer,KPMG,4.0,"Denver, CO","$92,000 - $130,000 a year"
Security Manager,Leidos,3.7,"Springfield, VA","$98,000 - $140,000 a year"
Information Security Analyst I,Multicare Health System,3.6,"Tacoma, WA","$63,000 - $82,000 a year"
Cyber Security System Integrity Engineer,Raytheon,4.0,"McKinney, TX","$95,000 - $130,000 a year"
"Senior Associate, Cyber Security Services - Response",KPMG,4.0,"Chicago, IL","$89,000 - $120,000 a year"
"Cyber Defense Analyst, Mid",Booz Allen Hamilton,3.9,"Washington, DC","$100,000 - $130,000 a year"
Security Manager,Exelon Corporation,4.0,"Oakbrook Terrace, IL","$76,000 - $110,000 a year"
"Director of Digital Security Operations, Incident Management & Infrastructure",Collins Aerospace,3.7,"Palm Beach Gardens, FL","$160,000 - $210,000 a year"
"Senior Associate, Cyber Security Services - IAM",KPMG,4.0,"Los Angeles, CA","$110,000 - $160,000 a year"
Information Security Engineer,"Corporate - Medford, OR",3.2,"Medford, OR","$90,000 - $120,000 a year"
Cloud Security Engineer,Third Republic,Not Given,"New York, NY","$100,000 a year"
Senior Director - Information Security,DocuSign,3.6,"Seattle, WA","$150,000 - $180,000 a year"
Information Security Architect,Toyota,4.0,"Plano, TX","$120,000 - $150,000 a year"
Information Security Officer,Savings Bank of Danbury,Not Given,"Danbury, CT","$86,000 - $120,000 a year"
Project Data Analyst I - Security,"Akima, LLC",3.5,"Chantilly, VA","$50,000 - $67,000 a year"
Security Engineer (FedRAMP),DELL,4.0,"Bedford, MA","$97,000 - $130,000 a year"
Security Analyst I,CivicPlus,3.9,"Manhattan, KS","$54,000 - $74,000 a year"
Sr. Security Analyst,Box,5.0,"Austin, TX","$110,000 - $160,000 a year"
Sr Systems Engineer - Cyber Security,Collins Aerospace,3.7,"Cedar Rapids, IA","$86,000 - $110,000 a year"
HEAD OF BDS CYBER CONSULTING AND INTERFACE,Atos,3.6,United States,"$95,000 - $140,000 a year"
IT Security Architect,Avani Systems,Not Given,"Wall Street, NY","$120,000 - $170,000 a year"
"Director, Technical Security Strategy",Rockwell Automation,4.0,"Milwaukee, WI","$110,000 - $150,000 a year"
"Senior Associate, Cyber Security Services - Business Continuity Planning / Disaster Recovery",KPMG,4.0,"Atlanta, GA","$83,000 - $110,000 a year"
Security Engineer,Scientific Research Corporation,3.9,"North Charleston, SC","$110,000 - $150,000 a year"
Cyber Security Research Engineer - Senior,Northeast Information Discovery,Not Given,"Canastota, NY","$110,000 - $130,000 a year"
EndPoint Security Specialist,Alight Solutions,3.4,"Lincolnshire, IL","$83,000 - $110,000 a year"
IT Security Engineer,Frontier Communications Corporation,3.3,"Rochester, NY","$100,000 - $130,000 a year"
System/Data Security Analyst,Bank of America,3.8,"Chicago, IL","$97,000 - $120,000 a year"
"Program Manager, Security",Atlassian,4.6,"Austin, TX","$97,000 - $130,000 a year"
Information Security Consultant,CSAA Insurance Group,3.3,"Glendale, AZ","$80,000 - $110,000 a year"
Security Specialist,University of Maryland,4.1,"College Park, MD","$31,000 - $40,000 a year"
Security-Supply Support Specialist,Leader Communications Incorporated,3.0,"Monterey, CA","$43,000 - $57,000 a year"
MSP Specialist- Duo Security,Cisco Careers,4.1,"Austin, TX","$63,000 - $80,000 a year"
IS Global Security Mgr,"TTI, INC.",3.8,"Fort Worth, TX","$120,000 - $150,000 a year"
"Director of Digital Security Operations, Incident Management & Infrastructure",Carrier,4.0,"Palm Beach Gardens, FL","$160,000 - $210,000 a year"
"Senior Associate, Cyber Security Services - CyberArk",KPMG,4.0,"Washington, DC","$98,000 - $140,000 a year"
Information Security Specialist I,"NCI Information Systems, Inc.",3.6,"Rome, NY","$78,000 - $110,000 a year"
Information Technology Specialist (Security),US Department of Health And Human Services,4.1,"Woodlawn, MD","$99,000 - $130,000 a year"
Information Systems Security Officer (ISSO) w/Poly,General Dynamics Information Technology,3.8,"College Park, MD","$93,000 - $130,000 a year"
Microelectronic Security Engineer Aide,Radiance Technologies Inc.,4.2,"Huntsville, AL","$60,000 - $77,000 a year"
Security Analyst,Zendesk,4.4,"San Francisco, CA","$57,000 - $80,000 a year"
Lead Cyber Hunter,Federal Reserve Bank of San Francisco,4.0,"San Francisco, CA","$91,000 - $120,000 a year"
Cloud Security Engineer,WonderWrks,Not Given,"Chicago, IL","$96,000 - $130,000 a year"
Cyber Security Technical Group Manager,Pacific Northwest National Laboratory,4.1,"Richland, WA","$100,000 - $150,000 a year"
Full-time Watch Officer,Maverick Cyber Defense,Not Given,"Washington, DC","$90,000 - $110,000 a year"
Physical Security Operations Specialist,Centene Corporation,3.2,"New York, NY","$56,000 - $80,000 a year"
Information Security Management Asociate,JP Morgan Chase,3.9,"Wilmington, DE","$120,000 - $170,000 a year"
Sr Staff Cyber Security Architect,GE Aviation,3.9,"Evendale, OH","$110,000 - $150,000 a year"
"Information Security Engineer, Mid",Booz Allen Hamilton,3.9,"Camp H M Smith, HI","$100,000 - $130,000 a year"
System Analyst Programmer/System Analyst – Infrastructure Security Eng,Publix,4.1,"Lakeland, FL","$70,000 - $91,000 a year"
"Specialist, FP&A Fire and Security Products Americas",Collins Aerospace,3.7,"Palm Beach Gardens, FL","$54,000 - $74,000 a year"
Cyber Threat Analyst,Bay State,4.3,"Morrisville, NC","$68,000 - $91,000 a year"
Information Security Analyst I - 004411,Excellus,Not Given,"Rochester, NY","$92,000 - $130,000 a year"
LEAD INFORMATION SECURITY ENGINEER,CenturyLink,3.5,"Denver, CO","$110,000 - $150,000 a year"
Manager - Cyber Crisis Response,United Airlines Inc.,4.0,"Chicago, IL","$86,000 - $110,000 a year"
HR Data Research Analyst,Coca-Cola Refreshments,3.9,"Atlanta, GA","$97,000 - $120,000 a year"
Cloud Security Architect,McAfee,3.7,"Los Angeles, CA","$130,000 - $180,000 a year"
Cyber Security Systems Engineer 2,Penn State University,4.3,"University Park, PA",Not mentioned
Summer Intern - IT Service Desk and Security,Dexter Axle Company,Not Given,"Novi, MI","$37,000 - $52,000 a year"
Penetration Tester,"MindPoint Group, LLC",5.0,"Washington, DC","$87,000 - $130,000 a year"
Diplomatic Security: Foreign Service Security Technical Specialist (0856),US Department of State,4.2,United States,"$41,000 - $60,000 a year"
Customer Security Assurance Analyst,Citrix,4.0,"Fort Lauderdale, FL","$89,000 - $110,000 a year"
Cyber Threat Analyst,Recorded Future,Not Given,"McLean, VA","$66,000 - $86,000 a year"
Sr Cyber Security Analyst - Division of Supervision and Regulation,Federal Reserve Board of Governors,4.1,"Washington, DC","$120,000 - $160,000 a year"
Expert Security Engineer,SPS Commerce,3.7,"Minneapolis, MN","$130,000 - $160,000 a year"
Cyber Solution - Information Systems Security Engineer,Foreground Security,4.3,"Woburn, MA","$89,000 - $130,000 a year"
Cyber Threat Hunter / Content Engineer,Collins Aerospace,3.7,"Farmington, CT","$120,000 - $160,000 a year"
Information Security Analyst- Firewall,Hallmark,3.9,"Kansas City, MO","$79,000 - $110,000 a year"
QSA Consultant,IT Governance,4.1,Home Based,"$47,000 - $62,000 a year"
Technology Control Security Specialist -Turkey - Pratt & Whitney,Collins Aerospace,3.7,"East Hartford, CT","$87,000 - $120,000 a year"
Video Security Analyst I,Acadian Total Security,3.1,"Lafayette, LA","$28,000 - $36,000 a year"
SAP Security Analyst -,Honeywell,3.8,"Tempe, AZ","$80,000 - $120,000 a year"
Security Manager 2,Northrop Grumman,4.0,"Sacramento, CA","$74,000 - $100,000 a year"
Network Security - Bluecoat Subject Matter Expert,Northrop Grumman,4.0,"Raleigh, NC","$97,000 - $130,000 a year"
Security Engineer,Check Point Software Technologies Ltd.,3.7,"Boston, MA","$91,000 - $130,000 a year"
Business Information Security Officer (BISO),Bank of America,3.8,"Denver, CO","$110,000 - $150,000 a year"
Information Security Administrator,City of St. Louis,3.5,"St. Louis, MO","$63,000 - $99,000 a year"
Security Engineer II (Vulnerability Management),Lakeland Regional Health,3.8,"Lakeland, FL","$84,000 - $110,000 a year"
Security Specialist II,BAE Systems,3.9,"McLean, VA","$51,000 - $69,000 a year"
Homeland Security Consultant HLOF6,E3/Sentinel,Not Given,"Washington, DC","$74,000 - $100,000 a year"
"Acquisition Security Specialist, Journeyman (WPAFB)",COLSA,3.8,"Dayton, OH","$90,000 - $120,000 a year"
Senior Security & Investigations Manager,Intuit,4.2,"Tucson, AZ","$100,000 - $130,000 a year"
Security Analyst,Prisma Health,3.8,"Columbia, SC","$46,000 - $65,000 a year"
Security Engineer - Incident Response,Fragomen,3.3,"Pittsburgh, PA","$110,000 - $150,000 a year"
Security Analyst,ClearDATA,4.1,"Austin, TX","$80,000 - $110,000 a year"
Information Security Specialist - Application Security (NYC ONLY),American Express,4.1,"New York, NY","$110,000 - $150,000 a year"
Security Analyst,Children's Mercy,4.1,"Kansas City, MO","$70,000 - $92,000 a year"
Systems Developer - Cyber,L3 Technologies,3.8,"Chantilly, VA","$120,000 - $160,000 a year"
Security Engineer,"Safe-Guard Products International, LLC",Not Given,"Atlanta, GA","$86,000 - $110,000 a year"
Security Architect,Liberty Mutual Insurance,3.6,"Portsmouth, NH","$140,000 - $190,000 a year"
Senior Security Analyst I,AbbVie,4.0,"Lake County, IL","$88,000 - $120,000 a year"
"Senior Associate, Cyber Security, Access Administration and Review",Hilton Corporate,4.0,"McLean, VA","$91,000 - $110,000 a year"
Lead Cyber Security Engineer,Lucid Motors,4.4,"Newark, CA","$100,000 - $140,000 a year"
Air Cargo Security Specialist,"Amazon.com Services, Inc.",3.6,"Rockford, IL","$39,000 - $55,000 a year"
"Vice President , Information Security",Rocket Software,3.6,"Waltham, MA","$160,000 - $220,000 a year"
Senior Security Specialist II,Advantage SCI,3.9,"Washington, DC","$51,000 - $67,000 a year"
Information System's Security Officer,Collins Aerospace,3.7,"Burnsville, MN","$96,000 - $130,000 a year"
Security Service Application Engineer,Northland Controls,3.0,"Milpitas, CA","$75,000 - $99,000 a year"
Information Systems Security Manager,LOCKHEED MARTIN CORPORATION,4.1,"Moorestown, NJ","$73,000 - $97,000 a year"
Information Security Risk & Communication Analyst,American Express,4.1,"Phoenix, AZ","$70,000 - $97,000 a year"
Security Engineer,Northrop Grumman,4.0,"Washington, DC","$92,000 - $130,000 a year"
Applied Mathematician with Cyber Focus,"Applied Research Associates, Inc",4.1,"Raleigh, NC","$65,000 - $96,000 a year"
GRC Security Administrator (Programmer Analyst III),Fairfax County Government,4.2,"Fairfax, VA","$74,000 - $120,000 a year"
Information Security Analyst,Advanced ICU Care,Not Given,"St. Louis, MO","$52,000 - $71,000 a year"
Concierge Security Analyst - 2,Arctic Wolf,Not Given,"Provo, UT","$75,000 - $99,000 a year"
Sr. Cyber Security Engineer,The Aerospace Corporation,4.0,"Albuquerque, NM","$89,000 - $120,000 a year"
IT Security Administrator,ASRC Federal Holding Company,3.7,"Edwards, CA","$73,000 - $96,000 a year"
Physical Security Specialist,Chenega Corporation,3.7,"Arlington, VA","$54,000 - $76,000 a year"
Cybersecurity Engineer – Cyber Lead,General Dynamics Information Technology,3.8,"Salt Lake City, UT","$110,000 - $150,000 a year"
"Security Specialist - Washington, DC.",Zenetex LLC,4.1,"Washington, DC","$52,000 - $73,000 a year"
"Information Security Engineer, Staff (Westfields)",AT&T,3.8,"Chantilly, VA","$81,000 - $110,000 a year"
Security Engineer,HireVergence,Not Given,"Plano, TX","$82,000 - $110,000 a year"
Information Security & IT Risk Engineer,Sumitomo Mitsui Banking Corporation,3.3,"New York, NY","$120,000 - $160,000 a year"
Cyber Security Project Manager,TechSolve Inc,4.1,"Cincinnati, OH","$74,000 - $110,000 a year"
Software Security Tester,"Quantum Research International, Inc.",3.9,"Colorado Springs, CO","$62,000 - $82,000 a year"
IT Security Third Party Remediation Analyst,Bank of America,3.8,"Denver, CO","$78,000 - $110,000 a year"
Security Engineer,TD Ameritrade,3.9,"Jersey City, NJ","$97,000 - $130,000 a year"
"Staff Engineer, Security & Access Technology",Collins Aerospace,3.7,"Framingham, MA","$87,000 - $120,000 a year"
Biomedical Security Analyst I,Catholic Health Initiatives - National Office,3.4,"Englewood, CO","$78,000 - $110,000 a year"
"Information Security Specialist, Staff (Westfields)",AT&T,3.8,"Oakton, VA","$70,000 - $90,000 a year"
Sr Information Systems Security Officer (ISSO),Zachary Piper Solutions,3.8,"Falls Church, VA","$140,000 - $150,000 a year"
Senior Information Security Operations Engineer,Wyndham Destinations,3.7,"Orlando, FL","$100,000 - $130,000 a year"
Cyber Security Education & Training Specialist,ManTech International Corporation,4.0,"Washington, DC","$65,000 - $92,000 a year"
JP Morgan Chase –Technology & Cyber Operational Risk Strategy & Operations - VP,JP Morgan Chase,3.9,"New York, NY","$170,000 - $220,000 a year"
Manager - Security Control Center,OneWeb,Not Given,"McLean, VA","$82,000 - $120,000 a year"
Technical Director - Database Security,Charles Schwab,4.1,"Austin, TX","$110,000 - $150,000 a year"
Red Team Security Engineer,Tesla,3.5,"Palo Alto, CA","$110,000 - $150,000 a year"
Systems Administrator - Security,San Antonio Water System,3.7,"San Antonio, TX","$63,000 - $85,000 a year"
Cyber Compliance Specialist,Dominion Energy,3.9,"Richmond, VA","$72,000 - $99,000 a year"
Telecommunications Cyber Capabilities Analyst - (Secret) - DODP6,E3/Sentinel,Not Given,"Richmond, VA","$86,000 - $110,000 a year"
Product Security Data Scientist,Collins Aerospace,3.7,"East Hartford, CT","$110,000 - $160,000 a year"
"Senior Engineer, Information Security",coty,3.7,"Manhattan, NY","$99,000 - $140,000 a year"
Cyber Risk Application Security Program Architect - Senior Consultant,Deloitte,4.0,"Los Angeles, CA","$130,000 - $170,000 a year"
Junior Systems Security Analyst,AbleVets LLC,3.9,"Chantilly, VA","$75,000 - $100,000 a year"
Security Operations Analyst,Shape Security,4.5,"Draper, UT","$59,000 - $76,000 a year"
Cyber Software Engineer - Junior,X8 LLC,Not Given,"Annapolis Junction, MD","$98,000 - $140,000 a year"
Security Operations Manager,ManTech International Corporation,4.0,"Washington, DC","$93,000 - $120,000 a year"
Information Security Training Support (USCIS RMSS),eGlobalTech,3.3,"Washington, DC","$110,000 - $140,000 a year"
Network Security Engineer,Valor IT Inc. dba Valor Global LLC,Not Given,"Scottsdale, AZ","$94,000 - $130,000 a year"
INTELLIGENCE SPECIALIST,US Department of the Air Force,4.3,"Bolling AFB, DC","$140,000 - $180,000 a year"
Cloud Security Engineer,Palo Alto Networks,4.0,"New York, NY","$120,000 - $180,000 a year"
IT Security Assessor,Cask LLC,4.3,"Washington, DC","$86,000 - $130,000 a year"
Application Security Engineer,Varo Money,4.5,"San Francisco, CA","$100,000 - $140,000 a year"
Security Specialist (TEMPORARY) (Vacancies),City of Columbus,3.9,"Columbus, OH",$17 - $23 an hour
"Sr. Cyber Security Engineer, Purple Team",Huntington Bank,3.6,"Columbus, OH","$100,000 - $130,000 a year"
Information System Security Officer,Exeter Government Services LLC,4.5,"Ogden, UT","$60,000 - $87,000 a year"
SECURITY SPECIALIST (TITLE 32),US Department of the Army,4.4,"Jefferson City, MO","$62,000 - $81,000 a year"
Solution Architect (Security Architecture),Entergy,3.8,"New Orleans, LA","$130,000 - $170,000 a year"
Contract Program Security Officer,ManTech International Corporation,4.0,"Dahlgren, VA","$62,000 - $82,000 a year"
Senior SAAS Security Specialist,MAXIMUS,3.3,"Lanham, MD","$93,000 - $130,000 a year"
Cyber Systems Engineer I,Perspecta,3.2,"Chantilly, VA","$93,000 - $130,000 a year"
Network Security Administrator,Seminole Tribe of Florida,3.5,"Hollywood, FL","$75,000 - $100,000 a year"
Cyber Security Program Support Engineer (Mid) ITC #2209,General Dynamics Information Technology,3.8,"Bossier City, LA","$100,000 - $140,000 a year"
Security Operations Configuration Management & Encryption Associate Director,Carrier,4.0,"Palm Beach Gardens, FL","$120,000 - $160,000 a year"
Information Systems Security Officer (ISSO),"Koniag, Inc.",3.6,"New Orleans, LA","$80,000 - $110,000 a year"
"Information Systems Security Operations/Systems Administrator_WPAFB, OH",Sawdey Solution Services,4.1,"Wright-Patterson AFB, OH","$83,000 - $110,000 a year"
Information Security Manager (ISM),JP Morgan Chase,3.9,"Lewisville, TX","$110,000 - $150,000 a year"
Director Technology Security,AT&T,3.8,"Dallas, TX","$110,000 - $150,000 a year"
Senior Security Engineer,CRITICAL18,Not Given,"Washington, DC","$100,000 - $140,000 a year"
Information Security Officer,Langley Federal Credit Union,3.6,"Newport News, VA","$96,000 - $130,000 a year"
Journeyman Information Security Analyst,System Dynamics Intl,Not Given,"Orlando, FL","$69,000 - $90,000 a year"
Distributed IT Security Professional,CITIZENS BANK,3.5,"Johnston, RI","$64,000 - $83,000 a year"
IS Security Operations Analyst (Access Management),WellSpan Health,3.7,"York, PA","$81,000 - $110,000 a year"
Senior Security Analyst - MedTech,UL LLC,3.7,"Chicago, IL","$110,000 - $130,000 a year"
